Trimmed Stress,Trimmed Strain
1.6017606293999999e-12,-6.815842336371989e-18
198.470296409,2.461686428506277e-05
215.738967142,0.00013987137458550515
222.244576625,0.00030808700606160117
225.71697644900001,0.0004912001958273224
228.16197281,0.0006793166247760962
230.10812178,0.0008698786752037943
231.70378489400002,0.0010621363805210819
233.029986777,0.0012556718634605141
234.17510429599997,0.0014500487645944602
235.192997121,0.0016449950793693585
236.106208348,0.001840398876983768
244.437251068,0.004360707014273701
250.94662281200002,0.006883773042865136
256.995609672,0.009402947197643176
262.793119042,0.011917097454156148
268.399601313,0.014425864885518972
273.836075127,0.0169291342154059
279.114793963,0.019426864679779714
284.250022612,0.02191901825493008
289.25211484,0.02440556777441472
294.12811327,0.02688648966193011
298.882600123,0.029361764074222186
303.520206412,0.03183137524961623
308.045714594,0.03429531153171014
312.46325864,0.036753564673951765
316.77681010000003,0.03920614098332593
320.988997906,0.041653041222651094
325.102723336,0.04409426030265387
329.12206666,0.04652982556329164
333.051371463,0.04895977585085879
336.894784573,0.051384152543093836
340.656312564,0.05380298516484678
344.340366917,0.05621627851419966
347.95084373099996,0.0586240363716978
351.49084680000004,0.06102626567891787
354.96255172,0.06342297361932232
358.367091124,0.06581417236220964
361.705447199,0.06819988341405904
364.978574541,0.07058013833555539
368.187382053,0.07295497093041735
371.332948431,0.07532441507335715
