Trimmed Stress,Trimmed Strain
1.6017606293999999e-12,-6.815842336371989e-18
203.304757726,8.585839127835332e-07
235.232044606,4.398202474751212e-05
250.45120698,0.00016930769712884862
256.983771098,0.0003373583863187316
260.687649611,0.0005192993894784187
263.301228482,0.0007065494101799214
265.394257666,0.0008963351783736165
267.140426038,0.0010878147074106317
268.60715901,0.0012806276416536823
269.857248711,0.0014744583976095467
270.95711941400003,0.0016689795319966788
279.87862639599996,0.0041865011049933305
286.160440385,0.006710452142717767
291.832479217,0.009231295240973674
297.225065811,0.011747232266794994
302.42767346799997,0.014257808962207257
307.474274577,0.016762809633753775
312.37814824,0.019262180946946813
317.148186755,0.021755910369710557
321.79467394,0.024243983681346806
326.325533191,0.026726398750969986
330.746537775,0.029203151409764413
335.061520763,0.03167423449297336
339.27418253,0.03413963827559065
343.38882672299997,0.03659934638035561
347.409737569,0.039053342664643914
351.34048844,0.041501620868474975
355.18344094800005,0.04394417273167241
358.941281465,0.04638099712803495
362.617189769,0.04881213018751068
366.21455258199995,0.05123762320795564
369.737265271,0.05365752031042999
373.189063167,0.056071848937682106
376.573830576,0.05848061776113913
379.894742474,0.06088382641048271
383.15362062099996,0.06328146871152501
386.35208159,0.06567354095439379
389.49168750300004,0.0680600564696178
392.57329253300003,0.07044104404210377
395.59687983,0.0728165438103522
398.56295103900004,0.0751865953765537
